14	7	E	-4323147.286966812	200
emissionprobs	4	4	RNAPII_S5P	0	0.9745143547328655
emissionprobs	4	4	RNAPII_S5P	1	0.025485645267134375
emissionprobs	4	5	RNAPII_S7P	0	0.991537096705171
emissionprobs	4	5	RNAPII_S7P	1	0.00846290329482899
emissionprobs	4	6	SUZ12	0	0.6414986150668525
emissionprobs	4	6	SUZ12	1	0.35850138493314765
emissionprobs	5	0	H2Aub1	0	0.8586548375023709
emissionprobs	5	0	H2Aub1	1	0.1413451624976291
emissionprobs	5	1	RING1B	0	0.12188151882858513
emissionprobs	5	1	RING1B	1	0.8781184811714149
emissionprobs	5	2	RNAPII_8WG16	0	0.08309827299237124
emissionprobs	5	2	RNAPII_8WG16	1	0.9169017270076288
emissionprobs	5	3	RNAPII_S2P	0	0.9535191035882593
emissionprobs	5	3	RNAPII_S2P	1	0.046480896411740746
emissionprobs	5	4	RNAPII_S5P	0	0.6128915850907418
emissionprobs	5	4	RNAPII_S5P	1	0.38710841490925807
emissionprobs	5	5	RNAPII_S7P	0	0.5969218715611747
emissionprobs	5	5	RNAPII_S7P	1	0.4030781284388254
emissionprobs	5	6	SUZ12	0	0.10121968939299264
emissionprobs	5	6	SUZ12	1	0.8987803106070075
emissionprobs	6	0	H2Aub1	0	0.9929240258695559
emissionprobs	6	0	H2Aub1	1	0.007075974130444177
emissionprobs	6	1	RING1B	0	0.685161438501692
emissionprobs	6	1	RING1B	1	0.3148385614983081
emissionprobs	6	2	RNAPII_8WG16	0	0.21820272664442253
emissionprobs	6	2	RNAPII_8WG16	1	0.7817972733555775
emissionprobs	6	3	RNAPII_S2P	0	0.9728211123145677
emissionprobs	6	3	RNAPII_S2P	1	0.02717888768543222
emissionprobs	6	4	RNAPII_S5P	0	0.838216705068771
emissionprobs	6	4	RNAPII_S5P	1	0.16178329493122906
emissionprobs	6	5	RNAPII_S7P	0	0.8412852555527842
emissionprobs	6	5	RNAPII_S7P	1	0.1587147444472157
emissionprobs	6	6	SUZ12	0	0.8905821107308416
emissionprobs	6	6	SUZ12	1	0.10941788926915844
emissionprobs	7	0	H2Aub1	0	0.993344459047423
emissionprobs	7	0	H2Aub1	1	0.006655540952577034
emissionprobs	7	1	RING1B	0	0.48212859987836876
emissionprobs	7	1	RING1B	1	0.5178714001216311
emissionprobs	7	2	RNAPII_8WG16	0	4.461933887168253E-11
emissionprobs	7	2	RNAPII_8WG16	1	0.9999999999553807
emissionprobs	7	3	RNAPII_S2P	0	0.8451405207247487
emissionprobs	7	3	RNAPII_S2P	1	0.15485947927525145
emissionprobs	7	4	RNAPII_S5P	0	0.2090723314284418
emissionprobs	7	4	RNAPII_S5P	1	0.7909276685715582
emissionprobs	7	5	RNAPII_S7P	0	0.11484830901218634
emissionprobs	7	5	RNAPII_S7P	1	0.8851516909878137
emissionprobs	7	6	SUZ12	0	0.7063358302602845
emissionprobs	7	6	SUZ12	1	0.29366416973971554
emissionprobs	8	0	H2Aub1	0	0.9974245472584335
emissionprobs	8	0	H2Aub1	1	0.002575452741566518
emissionprobs	8	1	RING1B	0	0.8228961586415068
emissionprobs	8	1	RING1B	1	0.17710384135849325
emissionprobs	8	2	RNAPII_8WG16	0	0.07118414318113173
emissionprobs	8	2	RNAPII_8WG16	1	0.9288158568188682
emissionprobs	8	3	RNAPII_S2P	0	0.022929168127352337
emissionprobs	8	3	RNAPII_S2P	1	0.9770708318726478
emissionprobs	8	4	RNAPII_S5P	0	0.1357534516290976
emissionprobs	8	4	RNAPII_S5P	1	0.8642465483709024
emissionprobs	8	5	RNAPII_S7P	0	0.09203541609252174
emissionprobs	8	5	RNAPII_S7P	1	0.9079645839074783
emissionprobs	8	6	SUZ12	0	0.9020116649768043
emissionprobs	8	6	SUZ12	1	0.09798833502319573
emissionprobs	9	0	H2Aub1	0	0.9980019596510924
emissionprobs	9	0	H2Aub1	1	0.001998040348907665
emissionprobs	9	1	RING1B	0	0.9740120063343477
emissionprobs	9	1	RING1B	1	0.025987993665652263
emissionprobs	9	2	RNAPII_8WG16	0	0.46676406360961065
emissionprobs	9	2	RNAPII_8WG16	1	0.5332359363903895
emissionprobs	9	3	RNAPII_S2P	0	0.45106845342596225
emissionprobs	9	3	RNAPII_S2P	1	0.5489315465740376
emissionprobs	9	4	RNAPII_S5P	0	0.8281513926120907
emissionprobs	9	4	RNAPII_S5P	1	0.17184860738790936
emissionprobs	9	5	RNAPII_S7P	0	0.6955532857814196
emissionprobs	9	5	RNAPII_S7P	1	0.30444671421858044
emissionprobs	9	6	SUZ12	0	0.9740819819946339
emissionprobs	9	6	SUZ12	1	0.02591801800536609
emissionprobs	10	0	H2Aub1	0	0.9953833395774366
